driverName,team,driverGroup,AUS,BHR,VNM,CHN,NLD,ESP,MCO,AZE,CAN,FRA,AUT,GBR,HUN,BEL,ITA,SGP,RUS,JPN,USA,MEX,BRA,UAE,totalPoints
32,McLaren,A1,,,,,,,,,,,,,,,,,,,,,,,0
ZghosT,Mercedes,A1,,,,,,,,,,,,,,,,,,,,,,,0
whiteGX5,Racing Point,A1,,,,,,,,,,,,,,,,,,,,,,,0
Ti-x dor,Racing Point,A1,,,,,,,,,,,,,,,,,,,,,,,0
shotsbaldwin,Williams,A1,,,,,,,,,,,,,,,,,,,,,,,0
shadowferrari,Red Bull Racing,A1,,,,,,,,,,,,,,,,,,,,,,,0
Rory Amor,Alpha Tauri,A1,,,,,,,,,,,,,,,,,,,,,,,0
RiceCake,Renault,A1,,,,,,,,,,,,,,,,,,,,,,,0
Quick Nick,Renault,A1,,,,,,,,,,,,,,,,,,,,,,,0
Owen Li,Mercedes,A1,,,,,,,,,,,,,,,,,,,,,,,0
Noth Amor,Alpha Tauri,A1,,,,,,,,,,,,,,,,,,,,,,,0
littleredhat,Haas,A1,,,,,,,,,,,,,,,,,,,,,,,0
LHAM66,Racing Point,A1,,,,,,,,,,,,,,,,,,,,,,,0
Hayato,Renault,A1,,,,,,,,,,,,,,,,,,,,,,,0
HanserTG,Reserved,A1,,,,,,,,,,,,,,,,,,,,,,,0
h0,Reserved,A1,,,,,,,,,,,,,,,,,,,,,,,0
G0ldeN_-,Reserved,A1,,,,,,,,,,,,,,,,,,,,,,,0
015 GW,McLaren,A1,,,,,,,,,,,,,,,,,,,,,,,0
Alick,Mercedes,A1,,,,,,,,,,,,,,,,,,,,,,,0
Charlotte Amor,Alpha Tauri,A1,,,,,,,,,,,,,,,,,,,,,,,0
Dop.25,Haas,A1,,,,,,,,,,,,,,,,,,,,,,,0
Guagua,Williams,A1,,,,,,,,,,,,,,,,,,,,,,,0
Especial_Pan,Red Bull Racing,A1,,,,,,,,,,,,,,,,,,,,,,,0
come papa here,Mercedes,A2,,,,,,,,,,,,,,,,,,,,,,,0
YIN,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
YG_MMM,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
XD_Fantaman,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
WUHUQIFEI,Red Bull Racing,A2,,,,,,,,,,,,,,,,,,,,,,,0
WindGK,Mercedes,A2,,,,,,,,,,,,,,,,,,,,,,,0
61,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
TXG,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
EVAIN,Racing Point,A2,,,,,,,,,,,,,,,,,,,,,,,0
TeamCorvette,Renault,A2,,,,,,,,,,,,,,,,,,,,,,,0
ARTIST,Racing Point,A2,,,,,,,,,,,,,,,,,,,,,,,0
BIUAninA,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
Caps,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
Ive Wei,Racing Point,A2,,,,,,,,,,,,,,,,,,,,,,,0
qszx44,Williams,A2,,,,,,,,,,,,,,,,,,,,,,,0
cveda,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
ohmhong,McLaren,A2,,,,,,,,,,,,,,,,,,,,,,,0
Head brother,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
Mercedes 4orever,McLaren,A2,,,,,,,,,,,,,,,,,,,,,,,0
LugoBox,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
Lucaspo,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
LOStSCX,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
Livistar,Ferrari,A2,,,,,,,,,,,,,,,,,,,,,,,0
Dragon,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
LinuS Sebastian,Red Bull Racing,A2,,,,,,,,,,,,,,,,,,,,,,,0
EricWang,Williams,A2,,,,,,,,,,,,,,,,,,,,,,,0
Kvwowv,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
KenHo,Reserved,A2,,,,,,,,,,,,,,,,,,,,,,,0
