raceDate,GP_CHN,driverGroup,raceStatus
2021-01-16,澳大利亚,A1,FINISHED
2021-01-23,巴林,A1,FINISHED
2021-01-30,越南,A1,FINISHED
2021-02-06,中国,A1,FINISHED
2021-02-20,荷兰,A1,FINISHED
2021-03-06,西班牙,A1,FINISHED
2021-03-13,摩纳哥,A1,FINISHED
2021-03-20,阿塞拜疆,A1,FINISHED
2021-03-27,加拿大,A1,FINISHED
2021-04-10,法国,A1,FINISHED
2021-04-17,奥地利,A1,FINISHED
2021-04-24,英国,A1,FINISHED
2021-05-08,匈牙利,A1,FINISHED
2021-05-15,比利时,A1,FINISHED
2021-05-22,意大利,A1,FINISHED
2021-05-29,新加坡,A1,TO BE GO
2021-06-05,俄罗斯,A1,TO BE GO
2021-06-19,日本,A1,TO BE GO
2021-06-26,美国,A1,TO BE GO
2021-07-03,墨西哥,A1,TO BE GO
2021-07-10,巴西,A1,TO BE GO
2021-07-31,阿布扎比,A1,TO BE GO
2021-01-15,澳大利亚,A2,FINISHED
2021-01-22,巴林,A2,FINISHED
2021-01-29,越南,A2,FINISHED
2021-02-05,中国,A2,FINISHED
2021-02-19,荷兰,A2,CANCELLED
2021-03-05,西班牙,A2,FINISHED
2021-03-12,荷兰,A2,FINISHED
2021-03-19,阿塞拜疆,A2,FINISHED
2021-03-26,加拿大,A2,FINISHED
2021-04-09,法国,A2,FINISHED
2021-04-16,奥地利,A2,FINISHED
2021-04-23,英国,A2,FINISHED
2021-05-07,匈牙利,A2,FINISHED
2021-05-14,比利时,A2,FINISHED
2021-05-21,意大利,A2,FINISHED
2021-05-28,新加坡,A2,TO BE GO
2021-06-04,俄罗斯,A2,TO BE GO
2021-06-18,日本,A2,TO BE GO
2021-06-25,美国,A2,TO BE GO
2021-07-02,墨西哥,A2,TO BE GO
2021-07-09,巴西,A2,TO BE GO
2021-07-30,阿布扎比,A2,TO BE GO
2021-01-17,澳大利亚,A3,FINISHED
2021-01-24,巴林,A3,CANCELLED
2021-01-31,越南,A3,CANCELLED
2021-02-07,中国,A3,FINISHED
2021-02-21,荷兰,A3,FINISHED
2021-03-07,西班牙,A3,FINISHED
2021-03-21,阿塞拜疆,A3,FINISHED
2021-03-28,加拿大,A3,FINISHED
2021-04-11,法国,A3,FINISHED
2021-04-18,奥地利,A3,CANCELLED
2021-04-25,英国,A3,CANCELLED
2021-05-09,匈牙利,A3,FINISHED
2021-05-16,比利时,A3,FINISHED
2021-05-23,意大利,A3,FINISHED
2021-05-30,新加坡,A3,TO BE GO
2021-06-06,俄罗斯,A3,TO BE GO
2021-06-20,日本,A3,TO BE GO
2021-06-27,美国,A3,TO BE GO
2021-07-04,墨西哥,A3,TO BE GO
2021-07-11,巴西,A3,TO BE GO
2021-08-01,阿布扎比,A3,TO BE GO
