Round,raceDate,GP_CHN,GP_ENG,driverGroup,raceStatus
1,2021/1/15,澳大利亚,Australia,A2,FINISHED
1,2021/1/16,澳大利亚,Australia,A1,FINISHED
1,2021/1/17,澳大利亚,Australia,A3,FINISHED
2,2021/1/22,巴林,Bahrain,A2,FINISHED
2,2021/1/23,巴林,Bahrain,A1,FINISHED
2,2021/1/24,巴林,Bahrain,A3,CANCELLED
3,2021/1/29,越南,Vietnam,A2,FINISHED
3,2021/1/30,越南,Vietnam,A1,FINISHED
3,2021/1/31,越南,Vietnam,A3,CANCELLED
4,2021/2/5,中国,China,A2,FINISHED
4,2021/2/6,中国,China,A1,FINISHED
4,2021/2/7,中国,China,A3,FINISHED
5,2021/2/19,荷兰,Netherlands,A2,FINISHED
5,2021/2/20,荷兰,Netherlands,A1,CANCELLED
5,2021/2/21,荷兰,Netherlands,A3,FINISHED
6,2021/3/5,西班牙,Spain,A2,FINISHED
6,2021/3/6,西班牙,Spain,A1,FINISHED
6,2021/3/7,西班牙,Spain,A3,FINISHED
5,2021/3/12,荷兰,Netherlands,A2,FINISHED
7,2021/3/13,摩纳哥,Monaco,A1,FINISHED
8,2021/3/19,阿塞拜疆,Azerbaijan,A2,FINISHED
8,2021/3/20,阿塞拜疆,Azerbaijan,A1,FINISHED
8,2021/3/21,阿塞拜疆,Azerbaijan,A3,FINISHED
9,2021/3/26,加拿大,Canada,A2,FINISHED
9,2021/3/27,加拿大,Canada,A1,FINISHED
9,2021/3/28,加拿大,Canada,A3,FINISHED
10,2021/4/9,法国,France,A2,FINISHED
10,2021/4/10,法国,France,A1,FINISHED
10,2021/4/11,法国,France,A3,FINISHED
11,2021/4/16,奥地利,Austria,A2,FINISHED
11,2021/4/17,奥地利,Austria,A1,FINISHED
11,2021/4/18,奥地利,Austria,A3,CANCELLED
12,2021/4/23,英国,Britain,A2,FINISHED
12,2021/4/24,英国,Britain,A1,FINISHED
12,2021/4/25,英国,Britain,A3,CANCELLED
13,2021/5/7,匈牙利,Hungary,A2,FINISHED
13,2021/5/8,匈牙利,Hungary,A1,FINISHED
13,2021/5/9,匈牙利,Hungary,A3,FINISHED
14,2021/5/14,比利时,Belgium,A2,FINISHED
14,2021/5/15,比利时,Belgium,A1,FINISHED
14,2021/5/16,比利时,Belgium,A3,FINISHED
15,2021/5/21,意大利,Italy,A2,FINISHED
15,2021/5/22,意大利,Italy,A1,FINISHED
15,2021/5/23,意大利,Italy,A3,FINISHED
16,2021/5/28,新加坡,Singapore,A2,ON GOING
16,2021/5/29,新加坡,Singapore,A1,ON GOING
16,2021/5/30,新加坡,Singapore,A3,ON GOING
17,2021/6/4,俄罗斯,Russia,A2,TO BE GO
17,2021/6/5,俄罗斯,Russia,A1,TO BE GO
17,2021/6/6,俄罗斯,Russia,A3,TO BE GO
18,2021/6/18,日本,Japan,A2,TO BE GO
18,2021/6/19,日本,Japan,A1,TO BE GO
18,2021/6/20,日本,Japan,A3,TO BE GO
19,2021/6/25,美国,USA,A2,TO BE GO
19,2021/6/26,美国,USA,A1,TO BE GO
19,2021/6/27,美国,USA,A3,TO BE GO
20,2021/7/2,墨西哥,Mexico,A2,TO BE GO
20,2021/7/3,墨西哥,Mexico,A1,TO BE GO
20,2021/7/4,墨西哥,Mexico,A3,TO BE GO
21,2021/7/9,巴西,Brazil,A2,TO BE GO
21,2021/7/10,巴西,Brazil,A1,TO BE GO
21,2021/7/11,巴西,Brazil,A3,TO BE GO
22,2021/7/30,阿布扎比,Abu Dahbi,A2,TO BE GO
22,2021/7/31,阿布扎比,Abu Dahbi,A1,TO BE GO
22,2021/8/1,阿布扎比,Abu Dahbi,A3,TO BE GO
