driverName,team,driverGroup,totalPoints
Alick,Mercedes AMG,A1,0
Owen Li,Mercedes AMG,A1,0
ZghosT,Mercedes AMG,A1,0
WUHUQIFEI,Team AFR2,A1,0
32,McLaren,A1,0
015 GW,McLaren,A1,0
LHAM66,Aston Martin,A1,0
Ti-x dor,Aston Martin,A1,0
whiteGX5,Aston Martin,A1,0
Guagua,Williams,A1,0
shotsbaldwin,Williams,A1,0
PaySd,Williams,A1,0
littleredhat,Haas,A1,0
Dop.25,Haas,A1,0
Noth Amor,Alpha Tauri,A1,0
Charlotte Amor,Alpha Tauri,A1,0
Rory Amor,Alpha Tauri,A1,0
babiface,Reserve,A1,0
DJH,Reserve,A1,0
h0,Reserve,A1,0
Banana,Reserve,A1,0
WindGK,Mercedes AMG,A2,0
come papa here,Mercedes AMG,A2,0
WUHUQIFEI,Red Bull Racing,A2,0
Linus Sebastian,Red Bull Racing,A2,0
Mercedes 4orever,McLaren,A2,0
ohmhong,McLaren,A2,0
ARTIST,Aston Martin,A2,0
EVAIN,Aston Martin,A2,0
Livistar,Ferrari,A2,0
qszx44,Williams,A2,0
EricWang,Williams,A2,0
BIUAninA,Reserve,A2,0
funaNAna,Reserve,A2,0
Head brother,Reserve,A2,0
danke,Reserve,A2,0
XD_Fantaman,Reserve,A2,0
Dragon,Reserve,A2,0
KenHo,Reserve,A2,0
