driverName,team,driverGroup,driverStatus,joinTime,raceBan,qualiBan
Alick,Mercedes AMG,A1,1st driver,2021/7/17,0,0
Owen Li,Mercedes AMG,A1,2ed driver,2021/7/17,0,0
ZghosT,Mercedes AMG,A1,3rd driver,2021/7/17,0,0
WUHUQIFEI,Team AFR2,A1,A2 driver,2021/7/17,0,0
32,McLaren,A1,1st driver,2021/7/17,0,0
015 GW,McLaren,A1,2ed driver,2021/7/17,0,0
LHAM66,Aston Martin,A1,1st driver,2021/7/17,0,0
Ti-x dor,Aston Martin,A1,2ed driver,2021/7/17,0,0
whiteGX5,Aston Martin,A1,3rd driver,2021/7/17,0,0
Guagua,Williams,A1,1st driver,2021/7/17,0,0
shotsbaldwin,Williams,A1,2ed driver,2021/7/17,0,0
PaySd,Williams,A1,3rd driver,2021/7/17,0,0
littleredhat,Haas,A1,1st driver,2021/7/17,0,0
Dop.25,Haas,A1,2ed driver,2021/7/17,0,0
Noth Amor,Alpha Tauri,A1,1st driver,2021/7/17,0,0
Charlotte Amor,Alpha Tauri,A1,2ed driver,2021/7/17,0,0
Rory Amor,Alpha Tauri,A1,3rd driver,2021/7/17,0,0
babiface,Reserve,A1,reserved driver,2021/7/17,0,0
DJH,Reserve,A1,reserved driver,2021/7/17,0,0
h0,Reserve,A1,reserved driver,2021/7/17,0,0
Banana,Reserve,A1,reserved driver,2021/7/17,0,0
WindGK,Mercedes AMG,A2,1st driver,2021/7/17,0,0
come papa here,Mercedes AMG,A2,2ed driver,2021/7/17,0,0
WUHUQIFEI,Red Bull Racing,A2,1st driver,2021/7/17,0,0
Linus Sebastian,Red Bull Racing,A2,2ed driver,2021/7/17,0,0
Mercedes 4orever,McLaren,A2,1st driver,2021/7/17,0,0
ohmhong,McLaren,A2,2ed driver,2021/7/17,0,0
ARTIST,Aston Martin,A2,1st driver,2021/7/17,0,0
EVAIN,Aston Martin,A2,2ed driver,2021/7/17,0,0
Livistar,Ferrari,A2,1st driver,2021/7/17,0,0
qszx44,Williams,A2,1st driver,2021/7/17,0,0
EricWang,Williams,A2,2ed driver,2021/7/17,0,0
BIUAninA,Reserve,A2,reserved driver,2021/7/17,0,0
funaNAna,Reserve,A2,reserved driver,2021/7/17,0,0
Head brother,Reserve,A2,reserved driver,2021/7/17,0,0
danke,Reserve,A2,reserved driver,2021/7/17,0,0
XD_Fantaman,Reserve,A2,reserved driver,2021/7/17,0,0
Dragon,Reserve,A2,reserved driver,2021/7/17,0,0
KenHo,Reserve,A2,reserved driver,2021/7/17,0,0
