Round,raceDate,GP_CHN,GP_ENG,driverGroup,raceStatus
1,2021/8/14,澳大利亚,Australia,A1,TO BE GO
2,2021/8/21,巴林,Bahrain,A1,TO BE GO
3,2021/8/28,越南,Vietnam,A1,TO BE GO
4,2021/9/4,中国,China,A1,TO BE GO
5,2021/9/11,荷兰,Netherlands,A1,TO BE GO
6,2021/9/25,西班牙,Spain,A1,TO BE GO
7,2021/10/2,摩纳哥,Monaco,A1,TO BE GO
8,2021/10/16,阿塞拜疆,Azerbaijan,A1,TO BE GO
9,2021/10/23,加拿大,Canada,A1,TO BE GO
10,2021/10/30,法国,France,A1,TO BE GO
11,2021/11/6,奥地利,Austria,A1,TO BE GO
12,2021/11/13,英国,Britain,A1,TO BE GO
13,2021/11/20,匈牙利,Hungary,A1,TO BE GO
14,2021/11/27,比利时,Belgium,A1,TO BE GO
15,2021/12/4,意大利,Italy,A1,TO BE GO
16,2021/12/11,新加坡,Singapore,A1,TO BE GO
17,2021/12/18,俄罗斯,Russia,A1,TO BE GO
18,2021/12/25,日本,Japan,A1,TO BE GO
19,2022/1/1,美国,USA,A1,TO BE GO
20,2022/1/8,墨西哥,Mexico,A1,TO BE GO
21,2022/1/15,巴西,Brazil,A1,TO BE GO
22,2022/1/22,阿布扎比,Abu Dahbi,A1,TO BE GO
1,2021/8/13,澳大利亚,Australia,A2,TO BE GO
2,2021/8/20,巴林,Bahrain,A2,TO BE GO
3,2021/8/27,越南,Vietnam,A2,TO BE GO
4,2021/9/3,中国,China,A2,TO BE GO
5,2021/9/10,荷兰,Netherlands,A2,TO BE GO
6,2021/9/24,西班牙,Spain,A2,TO BE GO
7,2021/10/1,摩纳哥,Monaco,A2,TO BE GO
8,2021/10/15,阿塞拜疆,Azerbaijan,A2,TO BE GO
9,2021/10/22,加拿大,Canada,A2,TO BE GO
10,2021/10/29,法国,France,A2,TO BE GO
11,2021/11/5,奥地利,Austria,A2,TO BE GO
12,2021/11/12,英国,Britain,A2,TO BE GO
13,2021/11/19,匈牙利,Hungary,A2,TO BE GO
14,2021/11/26,比利时,Belgium,A2,TO BE GO
15,2021/12/3,意大利,Italy,A2,TO BE GO
16,2021/12/10,新加坡,Singapore,A2,TO BE GO
17,2021/12/17,俄罗斯,Russia,A2,TO BE GO
18,2021/12/24,日本,Japan,A2,TO BE GO
19,2021/12/31,美国,USA,A2,TO BE GO
20,2022/1/7,墨西哥,Mexico,A2,TO BE GO
21,2022/1/14,巴西,Brazil,A2,TO BE GO
22,2022/1/21,阿布扎比,Abu Dahbi,A2,TO BE GO
1,2021/8/12,澳大利亚,Australia,A3,TO BE GO
2,2021/8/19,巴林,Bahrain,A3,TO BE GO
3,2021/8/26,越南,Vietnam,A3,TO BE GO
4,2021/9/2,中国,China,A3,TO BE GO
5,2021/9/9,荷兰,Netherlands,A3,TO BE GO
6,2021/9/23,西班牙,Spain,A3,TO BE GO
7,2021/9/30,摩纳哥,Monaco,A3,TO BE GO
8,2021/10/14,阿塞拜疆,Azerbaijan,A3,TO BE GO
9,2021/10/21,加拿大,Canada,A3,TO BE GO
10,2021/10/28,法国,France,A3,TO BE GO
11,2021/11/4,奥地利,Austria,A3,TO BE GO
12,2021/11/11,英国,Britain,A3,TO BE GO
13,2021/11/18,匈牙利,Hungary,A3,TO BE GO
14,2021/11/25,比利时,Belgium,A3,TO BE GO
15,2021/12/2,意大利,Italy,A3,TO BE GO
16,2021/12/9,新加坡,Singapore,A3,TO BE GO
17,2021/12/16,俄罗斯,Russia,A3,TO BE GO
18,2021/12/23,日本,Japan,A3,TO BE GO
19,2021/12/30,美国,USA,A3,TO BE GO
20,2022/1/6,墨西哥,Mexico,A3,TO BE GO
21,2022/1/13,巴西,Brazil,A3,TO BE GO
22,2022/1/20,阿布扎比,Abu Dahbi,A3,TO BE GO
